epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,767.007,2.72335,7.89567,2.61183,0.00073,0.10331,0.00137,0.00033,2.26322,8.64139,2.06378,0.000407407,0.000407407,0.000407407
2,4898.77,2.21027,6.41267,2.01479,0.00039,0.08333,0.00025,3e-05,1.59331,6.67136,2.25813,0.000813876,0.000813876,0.000813876
3,6143.7,2.08807,5.65606,1.94049,0.00076,0.1281,0.00137,0.00037,2.22058,6.01066,2.41771,0.00121003,0.00121003,0.00121003
4,7484.9,1.99897,5.20728,1.95011,0.00046,0.18388,0.00073,0.00034,1.98749,5.88343,2.2691,0.00120359,0.00120359,0.00120359
5,9321.07,1.98777,4.91158,1.88981,0.00161,0.28396,0.003,0.00128,1.66746,5.2568,1.84351,0.00118812,0.00118812,0.00118812
6,10113.8,1.87146,4.50963,1.8226,0.00116,0.23229,0.00129,0.00032,1.73058,5.5583,2.02936,0.00117266,0.00117266,0.00117266
7,12112.2,1.727,4.31478,1.7621,0.00112,0.24931,0.00232,0.00096,1.64832,4.5617,1.93192,0.00115719,0.00115719,0.00115719
8,12835,1.58649,4.16231,1.63701,0.00167,0.27204,0.00267,0.00146,1.36921,4.5502,1.55905,0.00114172,0.00114172,0.00114172
9,13606.7,1.45217,4.06584,1.54914,0.00167,0.24931,0.0042,0.00228,1.14165,4.16492,1.34016,0.00112625,0.00112625,0.00112625
10,14471.4,1.38737,3.91393,1.52557,0.00183,0.24105,0.00291,0.00159,1.18783,4.23947,1.35181,0.00111078,0.00111078,0.00111078
11,15328.8,1.2776,3.84142,1.4256,0.00266,0.50745,0.00913,0.00506,1.21467,4.22365,1.37115,0.00109531,0.00109531,0.00109531
12,16201,1.23988,3.69342,1.38123,0.00156,0.29477,0.00482,0.00286,0.97648,3.98409,1.22885,0.00107984,0.00107984,0.00107984
13,16967,1.15911,3.6773,1.33736,0.00353,0.18595,0.00354,0.00129,0.9064,4.5373,1.26061,0.00106437,0.00106437,0.00106437
14,17725.6,1.11902,3.59651,1.3189,0.01071,0.39361,0.01262,0.00598,0.90373,3.97142,1.20132,0.00104891,0.00104891,0.00104891
15,18482.9,1.06666,3.47878,1.29733,0.00915,0.55799,0.0152,0.00766,0.92797,4.10589,1.21969,0.00103344,0.00103344,0.00103344
