epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,377.997,2.94251,6.03195,2.49291,3e-05,0.00394,2e-05,0,3.01002,5.46214,3.82232,0.000407407,0.000407407,0.000407407
2,638.946,2.36345,4.9852,1.93284,0.00034,0.07549,0.00021,5e-05,2.76596,5.88751,2.35015,0.00079688,0.00079688,0.00079688
3,914.466,2.18554,4.6454,1.74357,0.00087,0.25084,0.00228,0.001,2.20591,5.14407,1.88136,0.00115885,0.00115885,0.00115885
4,1183.8,2.13287,4.40734,1.74868,0.00065,0.14326,0.00422,0.00084,3.50619,4.96134,2.8903,0.00112625,0.00112625,0.00112625
5,1457.3,2.01598,4.10363,1.65266,0.00347,0.70065,0.0153,0.00416,1.81554,4.28538,1.57476,0.001085,0.001085,0.001085
6,1728.58,1.96674,3.95571,1.65682,0.00261,0.56357,0.01536,0.00637,1.78929,4.12584,1.57299,0.00104375,0.00104375,0.00104375
7,1999.46,1.91624,3.89307,1.63594,0.00835,0.67574,0.02268,0.00763,1.67884,4.32696,1.64633,0.0010025,0.0010025,0.0010025
8,2283.68,1.86024,3.76402,1.5929,0.00279,0.27885,0.00461,0.00207,1.4478,4.14892,1.47461,0.00096125,0.00096125,0.00096125
9,2569.99,1.7773,3.70184,1.53811,0.00801,0.58401,0.03339,0.01713,1.32731,3.48939,1.42678,0.00092,0.00092,0.00092
10,3079.29,1.67768,3.59854,1.48762,0.009,0.55653,0.03085,0.01563,1.22174,3.60307,1.40393,0.00087875,0.00087875,0.00087875
11,3403.66,1.63354,3.54485,1.48421,0.00523,0.357,0.01537,0.00801,1.59748,3.58039,1.47965,0.0008375,0.0008375,0.0008375
12,3683.61,1.53888,3.50112,1.42908,0.76709,0.10827,0.01972,0.01167,1.21697,4.07589,1.38717,0.00079625,0.00079625,0.00079625
13,4002.75,1.49027,3.49759,1.39965,0.76114,0.22638,0.04464,0.02972,1.03739,3.11361,1.22802,0.000755,0.000755,0.000755
14,4329.86,1.45447,3.39697,1.37797,0.00868,0.81196,0.0261,0.01947,1.01779,3.30812,1.18766,0.00071375,0.00071375,0.00071375
15,4667.69,1.43564,3.27295,1.356,0.80595,0.1378,0.06773,0.04686,0.95604,3.05352,1.173,0.0006725,0.0006725,0.0006725
16,5123.24,1.36414,3.09782,1.31691,0.8272,0.12008,0.0924,0.06748,0.86269,2.75712,1.13424,0.00063125,0.00063125,0.00063125
17,5611.63,1.32003,3.04623,1.28257,0.79897,0.10827,0.05472,0.03994,0.83742,2.74721,1.09479,0.00059,0.00059,0.00059
18,7765.14,1.23146,2.9072,1.25521,0.78929,0.12205,0.04597,0.03251,0.8741,2.92508,1.14407,0.00054875,0.00054875,0.00054875
19,8295.15,1.24535,2.92023,1.24155,0.83432,0.16339,0.0963,0.07869,0.74262,2.61629,1.06141,0.0005075,0.0005075,0.0005075
20,8615.07,1.15904,2.83951,1.20753,0.84227,0.19488,0.21462,0.19102,0.65344,2.46461,1.00926,0.00046625,0.00046625,0.00046625
21,9177.84,0.97071,2.88239,1.19721,0.83648,0.1749,0.18523,0.16138,0.65085,2.36363,1.00641,0.000425,0.000425,0.000425
22,9538.5,0.8785,2.52998,1.13811,0.84354,0.22244,0.18995,0.16336,0.69997,2.36653,1.00403,0.00038375,0.00038375,0.00038375
23,9929.89,0.80055,2.39341,1.0898,0.80492,0.23228,0.10381,0.08815,0.60003,2.38691,0.96379,0.0003425,0.0003425,0.0003425
24,10311,0.77088,2.31318,1.06819,0.88284,0.19866,0.25499,0.22727,0.57003,2.01621,0.9623,0.00030125,0.00030125,0.00030125
25,10675.8,0.73078,2.2419,1.03094,0.60197,0.23228,0.18779,0.16318,0.57515,2.26927,0.93486,0.00026,0.00026,0.00026
26,11044.6,0.70901,2.16792,0.99954,0.28836,0.45617,0.35246,0.3221,0.50621,1.81101,0.91338,0.00021875,0.00021875,0.00021875
27,11380.5,0.66915,2.11353,0.98583,0.3195,0.35117,0.2881,0.26732,0.51082,1.93658,0.90483,0.0001775,0.0001775,0.0001775
28,11700,0.65863,2.01677,0.96862,0.2978,0.32023,0.25557,0.2357,0.48493,1.96875,0.88756,0.00013625,0.00013625,0.00013625
29,13706.9,0.60989,2.08754,0.96185,0.27142,0.35266,0.29859,0.2809,0.47283,1.77228,0.88607,9.5e-05,9.5e-05,9.5e-05
30,13924.2,0.59689,2.01324,0.94596,0.21752,0.49995,0.28268,0.26282,0.45957,1.74355,0.88165,5.375e-05,5.375e-05,5.375e-05
