epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,758.304,1.61827,1.96718,1.13292,0.55049,0.34742,0.35143,0.17852,1.54645,1.39635,1.08915,0.000327778,0.000327778,0.000327778
2,1569.4,1.50957,1.17831,1.08566,0.60871,0.27365,0.27261,0.12954,1.57518,1.20767,1.13433,0.000648021,0.000648021,0.000648021
3,2398.03,1.51052,1.10379,1.09164,0.58411,0.40374,0.39196,0.20371,1.58876,1.21093,1.12902,0.000955064,0.000955064,0.000955064
4,3220.5,1.50535,1.0464,1.09205,0.64569,0.36062,0.38135,0.19558,1.53049,1.07116,1.10865,0.0009406,0.0009406,0.0009406
5,4052.15,1.48962,1.02014,1.08032,0.62693,0.40377,0.43282,0.22602,1.56398,1.04861,1.10548,0.0009208,0.0009208,0.0009208
6,4904.66,1.46425,0.98221,1.07943,0.30433,0.37599,0.37635,0.19053,1.54709,1.02081,1.10882,0.000901,0.000901,0.000901
7,5756.85,1.45027,0.95963,1.07093,0.67327,0.36495,0.39715,0.20658,1.45986,1.03028,1.06618,0.0008812,0.0008812,0.0008812
8,6628.08,1.44042,0.93006,1.05687,0.43666,0.41344,0.44053,0.23306,1.49302,0.9592,1.0893,0.0008614,0.0008614,0.0008614
9,7553.44,1.41781,0.89976,1.05385,0.67319,0.49194,0.50614,0.27481,1.4467,0.86595,1.06357,0.0008416,0.0008416,0.0008416
10,8419.82,1.39563,0.87103,1.04062,0.72706,0.47292,0.54303,0.29435,1.45758,0.87406,1.06669,0.0008218,0.0008218,0.0008218
11,9053.37,1.39407,0.84208,1.03943,0.81016,0.45674,0.54553,0.30428,1.46271,0.86244,1.07251,0.000802,0.000802,0.000802
12,10167,1.38297,0.85057,1.0294,0.55476,0.50861,0.53219,0.29348,1.43301,0.84078,1.05898,0.0007822,0.0007822,0.0007822
13,10871.1,1.37178,0.83885,1.03015,0.76494,0.47898,0.52291,0.28669,1.49312,0.86916,1.07007,0.0007624,0.0007624,0.0007624
14,12492.6,1.35974,0.80809,1.0196,0.59508,0.46603,0.53466,0.30729,1.44723,0.81081,1.05838,0.0007426,0.0007426,0.0007426
