epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2469.66,2.58223,10.1064,2.50147,0.00143,0.21666,0.00148,0.00047,2.83896,10.9862,2.89975,0.000406977,0.000406977,0.000406977
2,11422.2,2.05792,4.75336,2.09216,9e-05,0.00164,4e-05,2e-05,4.60123,11894.5,8.7634,0.000818624,0.000818624,0.000818624
3,13230.8,1.99984,4.30594,2.07851,0.00043,0.10197,0.00034,7e-05,2.74198,68.5868,3.78834,0.00121026,0.00121026,0.00121026
4,15223.3,1.84843,4.26273,2.02197,1e-05,0.01136,1e-05,0,5.16913,11334.1,85.0161,0.00118256,0.00118256,0.00118256
5,16981.7,1.73338,4.10726,1.90267,0.00058,0.22039,0.00147,0.00071,1.59136,4.67948,2.10352,0.00113183,0.00113183,0.00113183
6,18437.3,1.61574,3.94272,1.81424,0.00224,0.25643,0.00265,0.00121,1.52553,4.40351,2.02654,0.00106877,0.00106877,0.00106877
7,19903.6,1.4565,3.80767,1.68314,0.00117,0.24671,0.00868,0.0047,1.33839,3.80379,1.66102,0.000994942,0.000994942,0.000994942
8,22826.1,1.38854,3.73053,1.61864,0.00116,0.30605,0.00276,0.00129,1.55679,5.05645,1.95755,0.000912157,0.000912157,0.000912157
9,24593.9,1.32825,3.64465,1.5588,0.00431,0.66999,0.01399,0.00772,1.10504,3.485,1.53429,0.000822454,0.000822454,0.000822454
10,26340.7,1.24914,3.54016,1.50023,0.00436,0.63748,0.05152,0.02901,0.92667,3.44498,1.39988,0.000728044,0.000728044,0.000728044
11,28176.2,1.09492,3.35621,1.42704,0.00755,0.50838,0.02648,0.01554,0.93892,3.32732,1.34266,0.00063125,0.00063125,0.00063125
12,30048.7,1.02218,3.08849,1.3605,0.00839,0.94121,0.05682,0.03786,0.83989,3.18626,1.35696,0.000534456,0.000534456,0.000534456
13,31905.6,0.95017,2.95057,1.33621,0.01271,0.85333,0.04802,0.03208,0.84425,3.12332,1.2913,0.000440046,0.000440046,0.000440046
14,33786.3,0.91601,2.72841,1.34112,0.78166,0.24178,0.05092,0.03224,0.91109,3.12448,1.28979,0.000350343,0.000350343,0.000350343
15,35675,0.90554,2.72967,1.32293,0.78956,0.24342,0.10327,0.07199,0.71135,2.7159,1.1895,0.000267558,0.000267558,0.000267558
16,38361.3,0.85736,2.5034,1.28983,0.82204,0.24178,0.12708,0.09772,0.72809,2.48124,1.13749,0.000193728,0.000193728,0.000193728
17,40726.4,0.80392,2.46536,1.28262,0.80275,0.22368,0.08001,0.05504,0.90467,2.66434,1.29717,0.000130671,0.000130671,0.000130671
18,44642,0.76804,2.46096,1.24941,0.83222,0.21875,0.14101,0.099,0.83331,2.56134,1.23049,7.99397e-05,7.99397e-05,7.99397e-05
19,46695.9,0.75191,2.3544,1.23009,0.82699,0.213,0.1342,0.09434,0.85604,2.44866,1.27046,4.27838e-05,4.27838e-05,4.27838e-05
20,51096.5,0.74453,2.34775,1.24018,0.82334,0.20395,0.12656,0.08562,0.94788,2.46563,1.35204,2.01178e-05,2.01178e-05,2.01178e-05
